MSZoning,LotArea,Street,Neighborhood,BldgType,OverallQual,OverallCond,Exterior1st,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,SaleCondition,SalePrice
RL,8450,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,No,GLQ,706,Unf,0,150,856,Y,856,854,0,1710,1,0,2,1,3,1,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,NA,NA,NA,0,2,Normal,208500
RL,9600,Pave,Veenker,1Fam,6,8,MetalSd,TA,TA,CBlock,Gd,TA,Gd,ALQ,978,Unf,0,284,1262,Y,1262,0,0,1262,0,1,2,0,3,1,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,NA,NA,NA,0,5,Normal,181500
RL,11250,Pave,CollgCr,1Fam,7,5,VinylSd,Gd,TA,PConc,Gd,TA,Mn,GLQ,486,Unf,0,434,920,Y,920,866,0,1786,1,0,2,1,3,1,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,NA,NA,NA,0,9,Normal,223500
RL,9550,Pave,Crawfor,1Fam,7,5,Wd Sdng,TA,TA,BrkTil,TA,Gd,No,ALQ,216,Unf,0,540,756,Y,961,756,0,1717,1,0,1,0,3,1,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,NA,NA,NA,0,2,Abnorml,140000
RL,14260,Pave,NoRidge,1Fam,8,5,VinylSd,Gd,TA,PConc,Gd,TA,Av,GLQ,655,Unf,0,490,1145,Y,1145,1053,0,2198,1,0,2,1,4,1,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,NA,NA,NA,0,12,Normal,250000
RL,14115,Pave,Mitchel,1Fam,5,5,VinylSd,TA,TA,Wood,Gd,TA,No,GLQ,732,Unf,0,64,796,Y,796,566,0,1362,1,0,1,1,1,1,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,0,0,NA,MnPrv,Shed,700,10,Normal,143000
RL,10084,Pave,Somerst,1Fam,8,5,VinylSd,Gd,TA,PConc,Ex,TA,Av,GLQ,1369,Unf,0,317,1686,Y,1694,0,0,1694,1,0,2,0,3,1,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,NA,NA,NA,0,8,Normal,307000
RL,10382,Pave,NWAmes,1Fam,7,6,HdBoard,TA,TA,CBlock,Gd,TA,Mn,ALQ,859,BLQ,32,216,1107,Y,1107,983,0,2090,1,0,2,1,3,1,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,NA,NA,Shed,350,11,Normal,200000
RM,6120,Pave,OldTown,1Fam,7,5,BrkFace,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,952,952,Y,1022,752,0,1774,0,0,2,0,2,2,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,NA,NA,NA,0,4,Abnorml,129900
RL,7420,Pave,BrkSide,2fmCon,5,6,MetalSd,TA,TA,BrkTil,TA,TA,No,GLQ,851,Unf,0,140,991,Y,1077,0,0,1077,1,0,1,0,2,2,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,NA,NA,NA,0,1,Normal,118000
